PID,SPLIT
101676,train
101678,dev
101683,test
101689,train
101692,train
101693,train
101694,dev
101698,dev
101701,train
101704,train
101705,train
101707,test
101712,train
101713,test
101717,test
101721,dev
101725,test
101731,train
101736,train
101740,train
101747,train
101748,train
101750,train
101753,train
101754,train
101759,test
101761,train
101763,test
101766,train
101769,test
101770,train
101782,train
101787,train
101790,train
101794,test
101795,test
101802,train
101806,train
101807,train
101809,dev
101811,test
101812,train
101815,train
101816,train
101818,train
101819,train
101824,train
101829,train
101833,dev
101834,train
101837,train
101838,train
101841,train
101845,test
101850,train
101852,dev
101853,train
101857,train
101859,train
101861,train
101863,train
101864,test
101867,dev
101871,dev
101873,train
101874,test
101879,train
101883,train
101885,test
101886,test
101888,dev
101889,dev
101896,train
101897,train
101900,train
101902,train
101905,test
101907,test
101908,train
101909,train
101916,train
101920,train
101921,train
101922,train
101923,test
101925,dev
101935,dev
101939,dev
101941,test
101943,test
101947,train
101949,dev
101952,train
101954,train
101955,dev
101957,train
101962,train
101964,train
101969,train
101970,test
101972,test
101973,train
101989,train
101991,train
101996,dev
101998,dev
101999,train
102003,train
102004,train
102007,train
102012,train
102017,train
102028,train
102029,train
102034,train
102035,train
102038,dev
102048,train
102050,train
102052,test
102053,train
102055,test
102058,train
102060,dev
102064,test
102067,train
102069,test
102070,train
102076,train
102080,train
102082,train
102083,train
102087,train
102088,train
102093,train
102098,train
102100,train
102102,train
102108,train
102109,test
102110,train
102112,train
102118,train
102120,train
102126,train
102132,train
102134,train
102136,test
102140,train
102143,train
102144,train
102145,train
102149,dev
102152,test
102154,train
102155,train
102157,train
102158,dev
102160,train
102161,test
102162,dev
102166,train
102171,test
102174,train
102176,train
102184,train
102186,train
102187,dev
102188,train
102193,train
102194,dev
102199,dev
102207,dev
102208,dev
102213,train
102214,test
102215,train
102216,train
102217,dev
102218,train
102223,dev
102224,dev
102230,train
102233,train
102236,train
102241,train
102252,dev
102253,train
102255,train
102257,train
102266,train
102267,test
102270,train
102271,train
102273,dev
102277,train
102279,dev
102282,train
102286,dev
102287,train
102288,dev
102293,train
102295,train
102297,train
102305,train
102307,train
102315,train
102317,train
102320,train
102322,dev
102326,test
102330,train
102332,train
102333,train
102335,train
102336,test
102341,train
102342,train
102344,train
102353,train
102354,train
102356,train
102360,test
102361,test
102362,train
102370,train
102371,train
102375,train
102376,train
102382,dev
102383,train
102387,train
102388,train
102391,train
102392,train
102393,train
102394,train
102395,dev
102396,test
102398,train
102401,train
102402,test
102405,train
102408,train
102417,train
102426,test
102434,train
102435,train
102436,train
102450,train
102456,train
102458,dev
102467,dev
102469,test
102471,test
102479,train
102481,train
102485,train
102487,dev
102488,train
102496,train
102500,train
102502,train
102505,train
102508,train
102509,dev
102510,train
102511,train
102514,train
102515,train
102516,test
102517,train
102522,train
102525,train
102526,train
102534,dev
102537,train
102539,train
102540,train
102541,test
102543,train
102549,test
102552,dev
102555,train
102561,train
102562,test
102563,train
102570,train
102575,test
102576,train
102578,test
102581,test
102586,train
102587,test
102593,dev
102600,train
102602,train
102604,train
102606,test
102607,train
102608,train
102609,train
102610,test
102612,train
102613,train
102614,dev
102616,train
102617,train
102618,train
102620,train
102624,test
102629,train
102631,train
102633,train
102641,train
102643,train
102646,train
102649,train
102650,dev
102658,train
102660,train
102663,train
102666,test
102669,train
102670,test
102676,train
102679,test
102684,train
102689,train
102690,train
102691,train
102693,test
102701,dev
102704,dev
102705,train
102706,train
102707,train
102713,train
102714,test
102720,train
102721,dev
102725,test
102736,train
102738,train
102741,train
102744,train
102746,train
102747,train
102749,train
102753,test
102755,train
102758,train
102759,test
102762,test
102763,dev
102764,train
102767,train
102773,dev
102775,train
102777,train
102796,dev
102803,test
102804,test
102806,test
102807,train
102808,dev
102809,dev
102811,train
102815,train
102817,train
102818,train
102820,train
102822,train
102823,train
102824,train
102826,train
102835,train
102837,train
102838,train
102848,dev
102850,train
102853,train
102854,train
102859,dev
102867,test
102871,train
102875,test
102877,train
102878,train
102879,train
102886,train
102888,train
102892,test
102895,dev
102898,train
102903,train
102905,dev
102908,train
102910,train
102911,dev
102913,train
102916,dev
102917,train
102918,test
102928,test
102929,dev
102931,train
102939,train
102948,train
102949,train
102950,train
102957,train
102958,dev
102961,train
102963,train
102965,test
102976,test
102978,train
102980,train
102987,dev
102989,train
102991,train
102999,dev
103000,dev
103001,train
103003,train
103006,dev
103013,test
103018,test
103022,train
103027,train
103034,test
103036,train
103037,train
103038,train
103039,train
103044,train
103046,train
103051,train
103053,train
103061,dev
103067,train
103069,train
103073,train
103074,train
103076,train
103078,dev
103084,dev
103086,train
103088,train
103093,train
103095,test
103101,test
103103,dev
103104,dev
103107,train
103109,dev
103112,train
103114,test
103115,test
103120,train
103121,train
103122,train
103123,dev
103129,train
103133,train
103147,train
103150,train
103152,dev
103156,train
103157,train
103164,train
103167,train
103168,dev
103169,train
103178,train
103181,train
103192,train
103206,train
103208,train
103210,test
103211,train
103213,test
103222,train
103223,test
103229,dev
103230,train
103232,train
103234,train
103235,train
103236,train
103237,dev
103238,train
103239,train
103240,train
103241,train
103242,train
103243,dev
103248,train
103249,train
103251,dev
103263,train
103265,test
103266,train
103273,train
103275,train
103280,test
103283,train
103288,train
103289,train
103291,test
103295,test
103296,test
103300,test
103302,train
103303,train
103304,train
103315,test
103317,train
103322,train
103324,test
103325,test
103329,train
103331,test
103337,train
103340,dev
103341,train
103344,train
103348,train
103353,train
103359,dev
103361,train
103363,train
103364,train
103371,dev
103373,train
103376,dev
103378,dev
103382,dev
103388,train
103389,train
103392,train
103393,dev
103394,train
103398,train
103410,train
103414,train
103416,dev
103417,test
103418,train
103420,train
103423,train
103424,train
103426,dev
103435,train
103436,dev
103438,train
103440,dev
103441,train
103446,test
103448,train
103452,test
103455,train
103458,dev
103459,train
103460,train
103462,train
103465,train
103466,test
103468,dev
103469,train
103474,train
103475,test
103482,test
103489,train
103493,train
103494,train
103495,train
103502,dev
103506,train
103507,test
103515,train
103519,train
103521,dev
103528,train
103529,train
103530,train
103533,train
103540,dev
103543,dev
103545,train
103553,train
103555,train
103556,train
103559,train
103560,train
103561,train
103566,train
103567,train
103574,dev
103575,train
103580,train
103581,train
103584,train
103585,train
103588,train
103590,dev
103591,dev
103594,train
103595,train
103597,train
103600,train
103604,train
103608,train
103611,train
103613,test
103615,train
103618,dev
103619,train
103620,train
103621,train
103622,test
103624,train
103627,test
103632,train
103637,train
103638,dev
103639,dev
103642,dev
103643,test
103646,dev
103649,train
103650,train
103651,test
103658,train
103661,train
103662,train
103664,train
103665,train
103666,train
103669,train
103671,dev
103673,train
103677,train
103680,train
103688,dev
103692,train
103700,train
103702,train
103703,train
103717,train
103721,test
103730,train
103731,train
103736,train
103741,train
103742,train
103745,train
103748,dev
103751,train
103755,train
103757,train
103758,train
103760,train
103767,train
103768,train
103771,train
103781,dev
103783,train
103784,test
103786,train
103787,train
103794,test
103795,test
103796,train
103798,test
103801,train
103803,test
103810,train
103811,train
103813,test
103814,train
103820,train
103821,test
103824,train
103825,train
103826,dev
103831,train
103832,dev
103837,train
103839,train
103844,test
103849,train
103853,train
103854,train
103868,dev
103872,dev
103874,train
103878,test
103879,train
103882,test
103886,train
103887,train
103889,train
103893,train
103902,test
103903,train
103906,train
103908,train
103912,train
103916,dev
103918,dev
103921,test
103926,dev
103928,train
103929,dev
103930,test
103944,test
103948,train
103950,train
103954,test
103956,train
103957,dev
103958,test
103960,dev
103966,train
103967,test
103969,train
103972,train
103977,train
103979,train
103981,train
103985,train
103989,train
103991,dev
103996,train
104005,test
104008,train
104009,train
104011,train
104012,train
104013,dev
104018,test
104020,dev
104022,train
104023,train
104026,train
104027,train
104031,train
104033,test
104035,train
104038,train
104042,train
104049,train
104050,train
104055,train
104056,train
104057,test
104059,train
104063,dev
104064,train
104065,dev
104066,dev
104070,train
104071,train
104072,train
104073,train
104075,test
104080,test
104082,train
104086,train
104088,train
104098,train
104099,test
104101,train
104102,test
104104,train
104109,test
104111,train
104114,dev
104118,train
104122,dev
104127,train
104133,train
104136,train
104138,train
104139,dev
104140,test
104146,train
104148,train
104152,dev
104162,train
104164,train
104166,test
104167,train
104168,test
104171,test
104173,dev
104176,dev
104178,dev
104179,test
104182,dev
104183,train
104184,train
104186,test
104191,dev
104196,train
104197,train
104200,train
104207,train
104208,test
104209,train
104211,train
104215,test
104221,dev
104223,train
104248,test
104250,dev
104252,train
104255,train
104262,train
104263,train
104271,dev
104276,train
104278,train
104279,test
104284,train
104285,dev
104287,train
104289,dev
104301,dev
104302,train
104305,train
104306,train
104308,train
104320,train
104321,test
104324,train
104325,train
104328,test
104334,train
104335,dev
104337,train
104341,train
104349,train
104351,test
104352,test
104353,train
104354,train
104355,dev
104357,train
104358,train
104359,train
104363,train
104364,dev
104368,train
104375,train
104376,train
104377,test
104386,train
104390,test
104395,train
104397,train
104400,train
104402,train
104403,train
104404,test
104406,train
104419,train
104420,dev
104437,train
104439,train
104441,train
104445,test
104450,train
104451,train
104452,train
104453,train
104454,test
104457,train
104458,test
104464,train
104465,train
104466,dev
104467,train
104470,dev
104474,test
104478,train
104480,test
104484,dev
104486,train
104493,train
104495,train
104498,train
104507,train
104510,train
104516,dev
104526,train
104527,test
104528,train
104530,dev
104532,train
104533,train
104534,train
104539,dev
104541,train
104543,train
104551,train
104555,train
104556,train
104563,train
104564,train
104565,train
104568,test
104569,train
104571,dev
104574,train
104575,train
104576,train
104578,train
104580,train
104581,train
104584,train
104585,test
104588,train
104592,test
104596,train
104599,train
104603,dev
104605,dev
104609,test
104610,train
104625,train
104628,dev
104629,train
104631,test
104632,train
104634,test
104636,train
104640,train
104641,train
104642,train
104649,train
104650,dev
104652,train
104653,train
104660,dev
104661,dev
104662,train
104664,train
104666,train
104668,train
104669,test
104678,train
104679,train
104680,train
104683,train
104684,train
104688,dev
104691,test
104696,train
104699,train
104701,train
104702,train
104705,train
104707,train
104719,train
104726,train
104728,dev
104730,test
104736,train
104740,dev
104743,train
104746,train
104749,train
104751,train
104758,train
104759,train
104761,test
104762,train
104763,train
104764,dev
104765,test
104767,test
104768,train
104769,train
104773,train
104777,train
104778,train
104787,train
104790,train
104792,dev
104795,train
104798,test
104799,dev
104802,train
104803,train
104810,train
104811,train
104812,dev
104815,train
104816,train
104827,train
104829,train
104831,train
104839,train
104841,train
104842,train
104848,test
104849,dev
104853,dev
104855,train
104860,train
104864,train
104866,train
104871,train
104880,train
104887,test
104889,train
104893,test
104897,train
104912,train
104916,train
104917,test
104918,train
104919,train
104921,train
104929,test
104930,test
104934,train
104937,train
104942,test
104943,test
104944,train
104946,train
104948,test
104949,dev
104954,train
104956,train
104957,train
104960,train
104962,test
104964,dev
104965,train
104966,train
104970,train
104972,train
104975,train
104990,train
104993,test
104999,dev
105000,dev
105006,train
105007,train
105009,train
105010,train
105012,train
105015,train
105016,test
105030,test
105032,train
105034,test
105037,train
105041,train
105042,dev
105046,dev
105050,train
105055,train
105061,train
105062,train
105066,train
105067,train
105068,dev
105069,train
105071,train
105072,train
105080,test
105082,train
105085,train
105088,train
105092,dev
105093,train
105094,train
105096,train
105097,train
105099,test
105103,train
105104,train
105117,dev
105120,train
105121,test
105125,train
105127,train
105128,dev
105130,train
105137,dev
105141,dev
105142,train
105144,train
105148,dev
105151,dev
105162,train
105164,train
105165,train
105166,train
105167,train
105171,train
105176,train
105179,dev
105181,train
105184,train
105188,train
105190,train
105195,train
105197,train
105201,train
105203,train
105205,train
105210,train
105211,dev
105214,train
105216,train
105221,test
105222,train
105227,train
105228,train
105231,dev
105232,train
105234,train
105236,dev
105244,train
105245,train
105248,train
105253,train
105258,test
105269,dev
105272,train
105275,train
105276,test
105281,train
105282,test
105289,dev
105292,train
105293,train
105295,train
105297,test
105301,train
105302,train
105305,dev
105307,train
105310,test
105327,dev
105328,train
105336,train
105338,train
105340,train
105341,test
105344,train
105346,train
105347,train
105348,train
105350,train
105352,dev
105353,train
105358,dev
105359,train
105360,train
105367,train
105369,train
105373,test
105374,train
105382,dev
105383,dev
105384,train
105385,train
105391,train
105394,train
105395,train
105401,train
105405,train
105408,train
105409,train
105418,train
105421,train
105422,train
105426,train
105429,train
105434,train
105435,train
105437,test
105438,train
105441,test
105446,train
105448,train
105449,dev
105451,test
105454,train
105465,train
105467,train
105478,train
105485,train
105488,train
105490,train
105492,train
105494,train
105495,test
105496,test
105497,dev
105499,train
105503,dev
105509,train
105511,train
105513,test
105514,train
105515,train
105518,train
105524,dev
105525,train
105526,dev
105528,dev
105533,test
105536,dev
105540,dev
105541,train
105543,train
105546,train
105547,train
105550,train
105554,train
105557,train
105562,train
105563,dev
105565,train
105567,train
105568,dev
105571,dev
105573,train
105574,train
105581,train
105583,train
105584,train
105585,test
105586,dev
105590,train
105596,dev
105605,train
105607,test
105608,test
105611,train
105612,dev
105614,train
105617,train
105620,train
105622,train
105626,train
105632,train
105637,train
105649,train
105653,train
105663,train
105665,train
105668,train
105669,train
105670,train
105673,train
105686,train
105687,train
105689,train
105691,train
105697,train
105698,train
105706,train
105708,train
105710,test
105713,train
105715,test
105726,train
105727,train
105728,dev
105730,test
105732,train
105735,dev
105739,train
105742,train
105745,train
105751,train
105753,train
105754,train
105755,train
105756,train
105758,train
105766,train
105767,train
105771,train
105778,train
105780,dev
105781,train
105783,train
105786,train
105788,train
105796,test
105798,dev
105801,test
105802,train
105806,train
105808,train
105813,train
105818,train
105820,train
105826,train
105829,train
105834,dev
105843,train
105847,train
105857,train
105859,dev
105861,test
105872,train
105875,test
105877,dev
105881,test
105882,train
105883,train
105893,train
105897,train
105899,test
105902,dev
105903,train
105905,test
105908,train
105910,train
105911,test
105914,train
105915,train
105917,train
105918,dev
105920,train
105922,train
105925,train
105926,train
105929,train
105931,train
105934,train
105937,dev
105941,train
105944,dev
105947,train
105948,train
105949,train
105954,test
105957,test
105960,dev
105968,train
105974,train
105979,train
105980,train
105982,train
105986,dev
105987,test
105988,train
105995,test
105996,train
106000,train
106003,train
106005,train
106010,train
106012,test
106014,train
106020,test
106023,train
106026,train
106028,test
106030,test
106031,train
106034,test
106036,train
106042,train
106046,train
106047,train
106050,train
106053,dev
106055,train
106056,train
106057,train
106058,test
106059,train
106062,train
106063,train
106075,train
106083,train
106086,dev
106089,train
106094,dev
106095,train
106096,train
106098,dev
106102,train
106109,train
106111,train
106113,train
106116,train
106118,test
106120,test
106121,dev
106123,train
106124,train
106127,train
106129,train
106133,dev
106139,train
106141,dev
106142,train
106143,test
106144,train
106146,train
106151,test
106158,dev
106161,train
106166,train
106167,test
106168,dev
106179,train
106181,train
106183,train
106190,test
106192,train
106193,test
106194,train
106197,train
106199,train
106200,test
106204,train
106205,train
106209,train
106211,dev
106213,test
106221,test
106224,dev
106226,train
106227,train
106229,train
106232,train
106233,train
106240,dev
106245,train
106252,test
106255,dev
106258,train
106261,train
106262,train
106263,train
106264,test
106267,train
106268,train
106269,train
106273,train
106275,train
106276,dev
106277,test
106280,test
106282,train
106286,test
106287,train
106288,train
106299,train
106300,train
106304,dev
106308,train
106312,train
106313,train
106314,train
106316,train
106322,train
106330,train
106332,train
106336,test
106341,train
106342,train
106345,train
106351,train
106354,train
106355,train
106364,train
106372,train
106374,train
106376,train
106378,train
106380,test
106382,dev
106393,train
106396,train
106397,train
106399,test
106403,dev
106412,train
106413,train
106418,train
106419,train
106420,dev
106422,test
106426,train
106428,train
106429,dev
106432,dev
106433,train
106438,train
106440,train
106442,dev
106450,test
106452,test
106455,train
106456,test
106460,test
106464,test
106472,dev
106473,test
106484,train
106490,train
106498,test
106500,test
106501,dev
106510,train
106517,train
106520,dev
106525,dev
106528,train
106529,train
106530,dev
106534,train
106536,train
106540,train
106541,train
106545,train
106546,train
106550,train
106551,test
106553,train
106556,train
106566,train
106569,test
106574,train
106585,train
106587,dev
106591,train
106592,train
106603,train
106605,train
106606,train
106608,train
106609,dev
106611,test
106623,train
106627,test
106628,train
106637,train
106639,train
106641,test
106642,train
106647,train
106649,train
106653,dev
106654,train
106657,dev
106658,train
106661,train
106667,train
106669,test
106671,test
106672,train
106676,train
106677,test
106684,train
106687,train
106688,train
106690,train
106692,dev
106697,train
106699,train
106709,train
106710,train
106718,test
106724,train
106725,train
106728,train
106729,train
106730,test
106735,test
106737,dev
106739,dev
106745,test
106750,train
106752,train
106753,test
106757,dev
106759,train
106760,test
106761,test
106762,train
106763,train
106768,dev
106769,train
106771,dev
106774,train
106781,train
106785,train
106786,train
106795,dev
106800,train
106802,train
106806,test
106808,dev
106812,test
106817,train
106819,train
106820,dev
106822,train
106829,train
106832,train
106836,train
106837,train
106838,test
106844,train
106845,test
106850,test
106855,train
106859,train
106862,dev
106863,train
106864,dev
106869,train
106875,dev
106878,train
106880,train
106882,train
106884,train
106887,test
106889,train
106897,train
106914,dev
106915,train
106920,test
106922,dev
106923,dev
106924,train
106926,test
106933,train
106943,train
106944,train
106945,test
106948,train
106953,train
106957,dev
106959,train
106970,test
106971,train
106972,train
106974,train
106977,train
106978,train
106982,dev
106990,test
106992,dev
106993,train
106997,dev
106998,train
107002,train
107004,dev
107013,train
107017,test
107018,train
107019,dev
107021,train
107027,train
107028,train
107030,train
107035,train
107040,train
107045,train
107047,train
107052,train
107055,train
107057,test
107058,train
107061,train
107069,train
107072,dev
107074,train
107076,train
107082,train
107083,train
107084,train
107091,train
107097,train
107098,train
107100,dev
107107,train
107110,test
107111,train
107113,test
107114,train
107116,train
107117,train
107118,train
107124,train
107125,train
107128,train
107133,train
107137,train
107138,dev
107143,test
107151,dev
107156,train
107159,train
107161,train
107164,test
107170,dev
107171,dev
107177,train
107179,train
107184,test
107185,dev
107186,train
107188,train
107190,train
107205,dev
107206,train
107211,test
107212,train
107213,train
107218,dev
107224,train
107225,train
107229,dev
107231,train
107232,test
107237,train
107242,dev
107243,test
107246,test
107248,train
107251,dev
107256,train
107258,train
107264,train
107268,train
107271,dev
107272,train
107275,train
107278,train
107279,test
107280,train
107282,train
107285,dev
107288,test
107291,train
107298,dev
107305,train
107307,train
107308,train
107310,test
107313,test
107318,train
107320,train
107321,train
107328,train
107334,train
107335,train
107338,train
107339,test
107343,dev
107344,train
107346,train
107348,train
107365,dev
107367,train
107370,dev
107371,dev
107372,train
107376,train
107379,train
107384,train
107388,train
107396,train
107402,train
107406,train
107408,train
107411,train
107412,train
107413,train
107414,train
107425,train
107428,dev
107432,train
107434,train
107438,test
107442,train
107443,test
107445,train
107451,test
107457,train
107459,test
107463,train
107467,dev
107472,test
107476,dev
107478,train
107479,train
107483,train
107484,train
107486,train
107487,dev
107488,train
107490,train
107492,test
107494,dev
107495,train
107497,test
107500,train
107507,train
107510,dev
107511,train
107515,train
107517,train
107520,train
107521,train
107524,train
107525,train
107526,train
107527,test
107528,test
107533,train
107540,train
107544,train
107546,train
107552,train
107561,dev
107563,train
107564,train
107567,dev
107569,train
107570,dev
107571,train
107572,test
107573,dev
107576,train
107577,train
107578,train
107579,train
107582,train
107584,train
107585,test
107595,dev
107599,test
107601,train
107603,train
107610,train
107612,train
107613,train
107616,train
107624,train
107632,test
107633,train
107634,train
107639,train
107643,train
107644,test
107646,dev
107648,train
107650,dev
107663,train
107665,train
107666,train
107667,train
107669,test
107674,train
107678,train
107679,test
107681,train
107682,test
107684,train
107689,dev
107690,train
107695,train
107696,train
107697,test
107701,train
107702,train
107721,dev
107722,train
107724,train
107725,train
107730,test
107738,dev
107740,train
107742,dev
107743,dev
107744,dev
107758,train
107761,train
107762,train
107764,test
107765,train
107770,train
107771,dev
107782,train
107785,train
107787,dev
107788,dev
107789,train
107791,train
107804,train
107810,dev
107811,train
107812,train
107814,train
107817,train
107818,train
107819,train
107826,test
107828,dev
107830,test
107833,dev
107834,train
107838,test
107845,train
107855,train
107856,train
107858,test
107859,train
107861,test
107862,test
107869,dev
107870,train
107878,test
107881,train
107884,train
107888,test
107889,test
107890,train
107893,train
107895,train
107897,dev
107899,train
107901,train
107904,train
107906,test
107910,train
107914,train
107917,train
107919,dev
107921,dev
107922,dev
107926,train
107929,train
107930,dev
107933,test
107934,train
107936,dev
107938,train
107939,train
107943,train
107944,train
107945,train
107946,train
107949,test
107950,train
107955,train
107957,dev
107958,train
107960,train
107967,train
107968,train
107974,train
107976,train
107985,test
107986,train
107990,dev
107991,test
107993,train
107996,train
107998,train
108005,test
108007,train
108011,train
108013,test
108020,train
108022,train
108025,test
108027,train
108029,train
108032,dev
108033,train
108040,test
108048,train
108051,train
108054,test
108056,train
108060,test
108061,train
108069,train
108070,train
108071,train
108074,train
108080,train
108082,test
108089,test
108090,train
108091,dev
108095,test
108111,train
108113,train
108116,train
108122,train
108133,test
108134,train
108135,train
108138,train
108140,train
108142,dev
108146,train
108149,test
108155,train
108161,train
108163,test
108165,train
108166,test
108173,train
108175,train
108178,train
108179,train
108191,train
108192,dev
108199,train
108202,train
108205,train
108207,test
108213,test
108219,train
108220,train
108222,train
108223,test
108230,train
108238,train
108240,train
108244,train
108245,train
108247,train
108248,train
108253,test
108256,train
108257,train
108263,train
108270,train
108271,train
108275,train
108277,dev
108279,train
108280,train
108281,train
108282,train
108284,train
108290,train
108301,train
108302,train
108304,train
108306,train
108310,dev
108314,train
108320,dev
108323,train
108325,train
108326,train
108327,test
108331,train
108333,train
108345,train
108346,train
108348,train
108351,train
108352,train
108353,train
108357,train
108364,train
108365,train
108367,train
108369,test
108376,test
108379,train
108380,dev
108385,train
108392,train
108395,test
108400,train
108401,test
108403,train
108405,train
108407,train
108408,train
108414,dev
108417,train
108420,train
108427,train
108429,test
108433,test
108436,train
108438,train
108443,test
108448,train
108455,test
108461,test
108465,train
108466,dev
108469,test
108470,train
108474,train
108476,test
108477,train
108482,train
108487,train
108488,train
108491,train
108493,train
108497,dev
108499,train
108500,train
108504,dev
108511,train
108515,dev
108520,dev
108527,train
108533,train
108537,train
108539,train
108540,train
108543,train
108547,train
108553,dev
108556,train
108557,dev
108559,train
108561,train
108567,train
108570,test
108574,train
108577,train
108579,train
108580,train
108581,train
108583,train
108585,train
108587,train
108590,dev
108591,train
108600,dev
108601,dev
108604,train
108608,train
108611,train
108612,train
108615,dev
108619,train
108626,test
108629,train
108632,dev
108635,test
108638,test
108646,train
108650,train
108651,train
108655,train
108662,train
108664,dev
108665,train
108666,test
108670,train
108677,train
108679,train
108682,train
108683,dev
108688,train
108691,train
108692,train
108693,train
108694,train
108698,train
108699,train
108701,train
108706,dev
108714,train
108717,train
108719,train
108729,train
108730,test
108731,train
108732,train
108733,train
108739,train
